Time,Topic,Location,Measure,CustomerID,DateReported,PossiblePoints,Question,Correct
Spring,Trivia,Trivia-Istanbul,La Casa De Papel Pre-Measure,9028521,12/16/19 10:04,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Casa De Papel Pre-Measure,9025047,11/8/19 11:51,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Casa De Papel Post-Measure,9025047,5/29/20 10:48,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Rio,La Casa De Papel Pre-Measure,9033201,3/21/20 14:10,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Casa De Papel Pre-Measure,9029013,1/3/20 11:18,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Casa De Papel Post-Measure,9029013,1/12/20 17:11,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Istanbul,La Casa De Papel Pre-Measure,9026137,11/25/19 15:12,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Istanbul,La Casa De Papel Post-Measure,9026137,12/8/19 19:52,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Istanbul,La Casa De Papel Pre-Measure,9028541,1/6/20 19:59,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Istanbul,La Casa De Papel Post-Measure,9028541,2/8/20 20:16,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Rio,La Casa De Papel Pre-Measure,9029557,1/16/20 12:51,20,What was the Professor's real name? ,N
Spring,Trivia,Trivia-Rio,La Casa De Papel Post-Measure,9029557,2/5/20 13:07,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Casa De Papel Pre-Measure,9024515,11/4/19 6:25,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Casa De Papel Post-Measure,9024515,12/9/19 12:15,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Istanbul,La Casa De Papel Pre-Measure,9028559,1/3/20 16:28,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Istanbul,La Casa De Papel Post-Measure,9028559,1/9/20 12:36,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Berlin,La Casa De Papel Pre-Measure,9025961,11/24/20 10:45,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Casa De Papel Pre-Measure,9024473,11/4/19 13:21,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Casa De Papel Post-Measure,9024473,12/29/19 14:07,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Berlin,La Casa De Papel Pre-Measure,9000239,12/12/19 6:05,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Berlin,La Casa De Papel Post-Measure,9000239,12/25/19 13:20,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Denver,La Casa De Papel Pre-Measure,9013249,11/4/19 8:08,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Denver,La Casa De Papel Post-Measure,9013249,2/26/20 11:39,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Rio,La Casa De Papel Pre-Measure,9029529,1/10/20 9:18,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Rio,La Casa De Papel Post-Measure,9029529,1/16/20 18:09,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Denver,La Casa De Papel Pre-Measure,9021133,11/4/19 11:15,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Helsinki,La Casa De Papel Pre-Measure,9033105,3/19/20 11:59,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Helsinki,La Casa De Papel Post-Measure,9033105,3/30/20 13:10,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Rio,La Casa De Papel Pre-Measure,9014683,11/17/19 18:34,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Rio,La Casa De Papel Post-Measure,9014683,12/19/19 8:28,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Casa De Papel Pre-Measure,9021077,11/6/19 20:02,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Nairobi,La Casa De Papel Pre-Measure,9024859,11/12/19 12:38,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Nairobi,La Casa De Papel Post-Measure,9024859,12/23/19 11:40,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Casa De Papel Pre-Measure,9024583,11/9/19 11:59,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Casa De Papel Post-Measure,9024583,11/30/19 16:57,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Denver,La Casa De Papel Pre-Measure,9010073,12/17/19 9:21,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Denver,La Casa De Papel Post-Measure,9010073,2/24/20 13:41,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Helsinki,La Casa De Papel Pre-Measure,9033085,3/19/20 7:22,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Helsinki,La Casa De Papel Post-Measure,9033085,5/22/20 10:52,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Palermo,La Casa De Papel Pre-Measure,9024739,11/11/19 8:54,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Palermo,La Casa De Papel Post-Measure,9024739,12/20/19 11:01,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Denver,La Casa De Papel Pre-Measure,9010227,12/9/19 6:03,20,What was the Professor's real name? ,N
Spring,Trivia,Trivia-Denver,La Casa De Papel Post-Measure,9010227,12/9/19 6:14,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Casa De Papel Pre-Measure,9024503,11/4/19 7:10,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Moscow,La Casa De Papel Post-Measure,9024503,12/9/19 13:48,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Rio,La Casa De Papel Pre-Measure,9011603,11/4/19 16:22,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Rio,La Casa De Papel Post-Measure,9011603,12/11/19 7:33,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Tokyo,La Casa De Papel Pre-Measure,9025801,11/20/19 17:56,20,What was the Professor's real name? ,Y
Spring,Trivia,Trivia-Tokyo,La Casa De Papel Post-Measure,9025801,12/3/19 12:45,20,What was the Professor's real name? ,Y
